timestamp, index, utilization.gpu [%], utilization.memory [%], pstate, temperature.gpu, memory.used [MiB], memory.free [MiB]
2020/05/01 13:48:01.230, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:01.231, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:06.232, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:06.234, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:48:06.235, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:06.236, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.237, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.238, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:48:06.238, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:06.239, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.240, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.241, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.242, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:06.243, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.244, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:06.245, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:06.246, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:06.247, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:11.248, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:11.249, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:48:11.250, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:11.251, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:11.252, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:11.252, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:48:11.253, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:11.254, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:11.255, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:11.256, 9, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:11.257, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:11.258, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:11.258, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:11.259, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:11.260, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:11.261, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.262, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.263, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:48:16.264, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:16.265, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:16.266, 4, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:48:16.267, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:48:16.268, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:48:16.269, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:48:16.269, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
